Skeletal Age,6-0,6-3,6-6,6-9,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-10,9-0,9-3,9-6,9-9,10-0,10-3,10-6,10-9,11-0,11-3,11-6,11-9,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0,17-6,18-0
48,66.7,65.8,65,63.9,63.4,62.7,62.2,61.4,60.8,59.9,59.3,58.5,58,57.4,56.9,56.3,55.7,54.9,54.3,53.6,53,52.7,52.5,52.3,52.1,51.5,51,,,,,,,,,,,,,,,,,,,,
49,68.1,67.2,66.4,65.2,64.7,64.1,63.5,62.7,62,61.2,60.5,59.7,59.3,58.6,58.1,57.4,56.8,56.1,55.4,54.7,54.1,53.8,53.6,53.4,53.1,52.6,52.1,51.6,51.1,,,,,,,,,,,,,,,,,,
50,69.4,68.6,67.8,66.6,66.1,65.4,64.8,63.9,63.3,62.4,61.7,60.9,60.5,59.8,59.2,58.6,58,57.2,56.6,55.8,55.2,54.9,54.7,54.5,54.2,53.6,53.1,52.6,52.2,51.7,51.3,51.1,51,,,,,,,,,,,,,,
51,70.8,70,69.1,67.9,67.4,66.7,66.1,65.2,64.6,63.7,63,62.1,61.7,61,60.4,59.8,59.2,58.4,57.7,56.9,56.3,56,55.8,55.6,55.3,54.7,54.2,53.7,53.2,52.7,52.4,52.1,52,51.9,51.7,51.6,51.5,51.5,51.4,51.3,51.2,51.2,51.2,51.1,51.1,51,51
52,72.2,71.3,70.5,69.2,68.7,68,67.4,66.5,65.8,64.9,64.2,63.3,62.9,62.2,61.6,61,60.3,59.5,58.8,58,57.4,57.1,56.9,56.6,56.4,55.8,55.3,54.7,54.3,53.8,53.4,53.2,53.1,52.9,52.7,52.6,52.5,52.5,52.4,52.3,52.2,52.2,52.2,52.1,52.1,52,52
53,73.6,72.7,71.8,70.6,70,69.3,68.7,67.8,67.1,66.2,65.4,64.6,64.1,63.4,62.8,62.1,61.5,60.6,60,59.2,58.5,58.2,58,57.7,57.5,56.9,56.3,55.8,55.3,54.8,54.4,54.2,54.1,53.9,53.8,53.6,53.5,53.5,53.4,53.3,53.2,53.2,53.2,53.1,53.1,53,53
54,,74.1,73.2,71.9,71.3,70.6,69.9,69.1,68.4,67.4,66.7,65.8,65.3,64.6,64,63.3,62.6,61.8,61.1,60.3,59.6,59.3,59.1,58.8,58.6,57.9,57.4,56.8,56.4,55.8,55.5,55.2,55.1,54.9,54.8,54.7,54.5,54.5,54.4,54.3,54.2,54.2,54.2,54.1,54.1,54,54
55,,,74.5,73.2,72.7,71.9,71.2,70.3,69.6,68.7,67.9,67,66.5,65.8,65.2,64.5,63.8,62.9,62.2,61.4,60.7,60.4,60.2,59.9,59.7,59,58.4,57.9,57.4,56.9,56.5,56.2,56.1,56,55.8,55.7,55.6,55.5,55.4,55.3,55.2,55.2,55.2,55.1,55.1,55,55
56,,,,74.6,74,73.2,72.5,71.6,70.9,69.9,69.1,68.2,67.7,67,66.4,65.7,65,64.1,63.3,62.5,61.8,61.5,61.3,61,60.7,60.1,59.5,58.9,58.5,57.9,57.5,57.3,57.1,57,56.8,56.7,56.6,56.5,56.4,56.3,56.2,56.2,56.2,56.1,56.1,56,56
57,,,,,,74.5,73.8,72.9,72.2,71.2,70.4,69.4,68.9,68.2,67.5,66.8,66.1,65.2,64.5,63.6,62.9,62.6,62.4,62.1,61.8,61.2,60.6,60,59.5,58.9,58.5,58.3,58.2,58,57.8,57.7,57.6,57.5,57.4,57.3,57.2,57.2,57.2,57.1,57.1,57,57
58,,,,,,,,74.2,73.4,72.4,71.6,70.6,70.1,69.4,68.7,68,67.3,66.4,65.6,64.7,64,63.7,63.5,63.2,62.9,62.2,61.6,61.1,60.5,60,59.5,59.3,59.2,59,58.8,58.7,58.6,58.5,58.4,58.3,58.2,58.2,58.2,58.1,58.1,58,58
59,,,,,,,,,74.7,73.7,72.8,71.9,71.3,70.6,69.9,69.2,68.4,67.5,66.7,65.8,65.1,64.8,64.6,64.3,64,63.3,62.7,62.1,61.6,61,60.6,60.3,60.2,60,59.8,59.7,59.6,59.5,59.4,59.4,59.2,59.2,59.2,59.1,59.1,59,59
60,,,,,,,,,,74.9,74.1,73.1,72.6,71.8,71.1,70.3,69.6,68.7,67.9,67,66.2,65.9,65.6,65.4,65.1,64.4,63.8,63.2,62.6,62,61.6,61.3,61.2,61,60.9,60.7,60.6,60.5,60.4,60.4,60.2,60.2,60.2,60.1,60.1,60,60
61,,,,,,,,,,,,74.3,73.8,73,72.3,71.5,70.8,69.8,69,68.1,67.3,67,66.7,66.4,66.2,65.5,64.8,64.2,63.7,63.1,62.6,62.4,62.2,62.1,61.9,61.7,61.6,61.6,61.4,61.4,61.2,61.2,61.2,61.1,61.1,61,61
62,,,,,,,,,,,,,,74.2,73.5,72.7,71.9,70.9,70.1,69.2,68.4,68.1,67.8,67.5,67.2,66.5,65.9,65.3,64.7,64.1,63.7,63.4,63.3,63.1,62.9,62.8,62.6,62.6,62.4,62.4,62.2,62.2,62.2,62.1,62.1,62,62
63,,,,,,,,,,,,,,,74.6,73.9,73.1,72.1,71.3,70.3,69.5,69.2,68.9,68.6,68.3,67.6,67,66.3,65.8,65.1,64.7,64.4,64.3,64.1,63.9,63.8,63.6,63.6,63.4,63.4,63.3,63.3,63.2,63.1,63.1,63,63
64,,,,,,,,,,,,,,,,,74.2,73.2,72.4,71.4,70.6,70.3,70,69.7,69.4,68.7,68,67.4,66.8,66.2,65.7,65.4,65.3,65.1,64.9,64.8,64.6,64.6,64.4,64.4,64.3,64.3,64.2,64.1,64.1,64,64
65,,,,,,,,,,,,,,,,,,74.4,73.4,72.5,71.7,71.4,71.1,70.8,70.5,69.7,69.1,68.4,67.8,67.2,66.7,66.5,66.3,66.1,65.9,65.8,65.7,65.6,65.5,65.4,65.3,65.3,65.2,65.1,65.1,65,65
66,,,,,,,,,,,,,,,,,,,74.7,73.7,72.9,72.5,72.2,71.9,71.6,70.8,70.1,69.5,68.9,68.3,67.8,67.5,67.3,67.1,66.9,66.8,66.7,66.6,66.5,66.4,66.3,66.3,66.2,66.1,66.1,66,66
67,,,,,,,,,,,,,,,,,,,,74.8,74,73.6,73.3,73,72.7,71.9,71.2,70.5,69.9,69.3,68.8,68.5,68.4,68.2,68,67.8,67.7,67.6,67.5,67.4,67.3,67.3,67.2,67.1,67.1,67,67
68,,,,,,,,,,,,,,,,,,,,,,74.7,74.4,74.1,73.8,73,72.3,71.6,71,70.3,69.8,69.5,69.4,69.2,69,68.8,68.7,68.6,68.5,68.4,68.3,68.3,68.2,68.1,68.1,68,68
69,,,,,,,,,,,,,,,,,,,,,,,,,74.8,74,73.3,72.6,72,71.4,70.8,70.6,70.4,70.2,70,69.8,69.7,69.6,69.5,69.4,69.3,69.3,69.2,69.1,69.1,69,69
70,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4,73.7,73.1,72.4,71.9,71.6,71.4,71.2,71,70.8,70.7,70.6,70.5,70.4,70.3,70.3,70.2,70.1,70.1,70,70
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7,74.1,73.4,72.9,72.6,72.4,72.2,72,71.9,71.7,71.6,71.5,71.4,71.3,71.3,71.2,71.1,71.1,71,71
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,73.9,73.6,73.5,73.2,73,72.9,72.7,72.7,72.5,72.4,72.3,72.3,72.2,72.1,72.1,72,72
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,74.6,74.5,74.3,74,73.9,73.7,73.7,73.5,73.4,73.3,73.3,73.2,73.1,73.1,73,73
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,74.7,74.7,74.5,74.4,74.3,74.3,74.2,74.1,74.1,74,74
