Skeletal Age,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-9,9-0,9-3,9-6,9-9,10,10-3,10-6,10-9,11,11-3,11-6,11-9,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0,17-3,17-6,17-9,18-0,18-3,18-6
51,73.4,72.6,71.9,71.2,70.5,69.8,69,68.4,67.8,67,66.3,65.6,65.1,64.5,64.2,63.8,63.4,62.8,62.3,61.7,61.1,60.5,59.8,,,,,,,,,,,,,,,,,,,,,,,,
52,74.8,74.1,73.3,72.6,71.9,71.1,70.4,69.7,69.1,68.3,67.6,66.9,66.3,65.7,65.4,65,64.7,64,63.6,62.9,62.3,61.7,61,60.3,,,,,,,,,,,,,,,,,,,,,,,
53,76.3,75.5,74.8,74,73.3,72.5,71.7,71,70.5,69.6,68.9,68.2,67.6,67,66.7,66.3,65.9,65.3,64.8,64.1,63.5,62.9,62.1,61.4,60.5,,,,,,,,,,,,,,,,,,,,,,
54,77.7,76.9,76.2,75.4,74.7,73.9,73.1,72.4,71.8,71,70.2,69.5,68.9,68.3,67.9,67.5,67.2,66.5,66,65.3,64.7,64.1,63.3,62.6,61.6,60.7,,,,,,,,,,,,,,,,,,,,,
55,79.1,78.3,77.6,76.8,76.1,75.2,74.4,73.7,73.1,72.3,71.5,70.8,70.2,69.5,69.2,68.8,68.4,67.7,67.2,66.5,65.9,65.2,64.5,63.7,62.8,61.8,61,60.2,,,,,,,,,,,,,,,,,,,
56,80.6,79.8,79,78.2,77.5,76.6,75.8,75.1,74.5,73.6,72.8,72.1,71.4,70.8,70.4,70,69.7,69,68.5,67.7,67.1,66.4,65.6,64.9,63.9,62.9,62.1,61.3,60.4,,,,,,,,,,,,,,,,,,
57,,,80.4,79.6,78.8,78,77.1,76.4,75.8,74.9,74.1,73.4,72.7,72.1,71.7,71.3,70.9,70.2,69.7,68.9,68.3,67.6,66.8,66,65.1,64,63.2,62.4,61.5,60.8,60.1,,,,,,,,,,,,,,,,
58,,,,80.2,79.3,78.5,77.7,77.1,76.2,75.4,74.6,74,73.3,73,72.5,72.1,71.4,70.9,70.1,69.5,68.8,68,67.2,,66.2,65.2,64.3,63.5,62.6,61.8,61.2,60.5,,,,,,,,,,,,,,,
59,,,,,,80.7,79.8,79.1,78.5,77.5,76.7,75.9,75.3,74.6,74.2,73.8,73.4,72.7,72.1,71.3,70.7,70,69.2,68.4,67.4,66.3,65.4,64.6,63.6,62.9,62.2,61.6,61,60.6,60.5,60.2,60.1,,,,,,,,,,
60,,,,,,,,80.4,79.8,78.8,78,77.2,76.5,75.9,75.5,75,74.6,73.9,73.3,72.6,71.9,71.2,70.5,69.7,68.5,67.4,66.5,65.6,64.7,64,63.3,62.6,62,61.7,61.5,61.2,61.1,60.9,60.8,60.7,60.5,60.4,60.4,60.3,60.2,60.1,60
61,,,,,,,,,,80.2,79.3,78.5,77.8,77.1,76.7,76.3,75.9,75.1,74.6,73.8,73.1,72.4,71.5,70.7,69.6,68.5,67.6,66.7,65.8,65,64.3,63.7,63,62.7,62.5,62.2,62.1,61.9,61.8,61.7,61.6,61.4,61.4,61.3,61.2,61.1,61
62,,,,,,,,,,,80.6,79.8,79.1,78.4,78,77.5,77.1,76.4,75.8,75,74.3,73.5,72.7,71.8,70.8,69.7,68.7,67.8,66.9,66.1,65.4,64.7,64.1,63.7,63.5,63.3,63.1,62.9,62.8,62.7,62.6,62.4,62.4,62.3,62.2,62.1,62
63,,,,,,,,,,,,,80.4,79.6,79.2,78.8,78.4,77.6,77,76.2,75.5,74.7,73.9,73,71.9,70.8,69.8,68.9,68,67.2,66.5,65.8,65.1,64.7,64.5,64.3,64.2,64,63.9,63.7,63.6,63.4,63.4,63.3,63.3,63.1,63
64,,,,,,,,,,,,,,80.9,80.5,80,79.6,78.8,78.2,77.4,76.7,75.9,75,74.2,73.1,71.9,71,70,69,68.2,67.5,66.8,66.1,65.8,65.6,65.3,65.2,65,64.8,64.7,64.6,64.4,64.4,64.3,64.1,64,63.9
65,,,,,,,,,,,,,,,,,80.8,80,79.5,78.6,77.9,77.1,76.2,75.3,74.2,73,72.1,71.1,70.1,69.3,68.6,67.8,67.2,66.8,66.6,66.3,66.2,66,65.9,65.7,65.6,65.5,65.5,65.3,65.3,65.1,65
66,,,,,,,,,,,,,,,,,,,80.7,79.8,79.1,78.3,77.4,76.5,75.3,74.2,73.2,72.2,71.2,70.4,69.6,68.9,68.2,67.8,67.6,67.3,67.2,67,66.9,66.7,66.6,66.5,66.4,66.3,66.3,66.1,66
67,,,,,,,,,,,,,,,,,,,,,80.3,79.5,78.5,77.6,76.5,75.3,74.3,73.3,72.3,71.4,70.7,69.9,69.2,68.9,68.6,68.4,68.2,68,67.9,67.7,67.6,67.5,67.4,67.3,67.3,67.1,67
68,,,,,,,,,,,,,,,,,,,,,,80.7,79.7,78.8,77.6,76.4,75.4,74.4,73.4,72.5,71.7,71,70.3,69.9,69.7,69.4,69.2,69,68.9,68.8,68.6,68.5,68.4,68.3,68.3,68.1,68
69,,,,,,,,,,,,,,,,,,,,,,,80.9,80,78.8,77.5,76.5,75.5,74.4,73.6,72.8,72,71.3,70.9,70.7,70.4,70.3,70,69.9,69.8,69.6,69.5,69.4,69.3,69.3,69.1,69
70,,,,,,,,,,,,,,,,,,,,,,,,,79.9,78.7,77.7,76.6,75.5,74.6,73.8,73.1,72.3,71.9,71.7,71.4,71.3,71.1,70.9,70.8,70.6,70.5,70.4,70.4,70.3,70.1,70
71,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,78.7,77.7,76.6,75.7,74.9,74.1,73.4,73,72.7,72.4,72.3,72.1,71.9,71.8,71.6,71.5,71.4,71.3,71.3,71.1,71
72,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,79.8,78.8,77.7,76.8,75.9,75.2,74.4,74,73.8,73.5,73.3,73.1,73,72.8,72.7,72.5,72.4,72.4,72.3,72.1,72
73,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,79.9,78.7,78.8,77.8,77,76.2,75.4,75,74.5,74.3,74.1,74,73.8,73.7,73.5,73.4,73.4,73.3,73.1,73
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,78.9,78.1,77.2,76.4,76,75.8,75.5,75.4,75.1,75,74.8,74.7,74.5,74.4,74.4,74.3,74.1,74
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,80,79.1,78.3,77.5,77.1,76.8,76.5,76.4,76.1,76,75.8,75.7,75.5,75.4,75.4,75.3,75.2,75
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,79.3,78.5,78.1,77.9,77.6,77.4,77.2,77,76.8,76.7,76.5,76.5,76.4,76.3,76.2,76
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,79.5,79.1,78.9,78.6,78.4,78.2,78,77.9,77.7,77.5,77.5,77.4,77.3,77.2,77
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6,80.2,79.9,79.6,79.4,79.2,79,78.9,78.7,78.5,78.5,78.4,78.3,78.2,78
